date,customer,dividend,shareholder_meeting,actual
20150101,12,0,0,0
20150102,215,0,0,0
20150103,24,0,0,0
20150104,37,0,0,0
20150105,120,0,0,0
20150106,324,0,0,0
20150107,205,2,0,0
20150108,175,0,0,0
20150109,178,0,0,0
20150110,25,0,0,0
20150111,71,0,0,0
20150112,213,0,0,0
20150113,128,0,0,0
20150114,79,0,0,0
20150115,166,0,0,0
20150116,99,0,1,0
20150117,41,0,0,0
20150118,52,0,0,0
20150119,372,2,0,0
20150120,242,0,0,0
20150121,115,6,0,0
20150122,97,18,0,0
20150123,145,6,0,0
20150124,19,0,0,0
20150125,21,0,0,0
20150126,233,26,0,0
20150127,182,20,0,0
20150128,127,26,1,1
20150129,67,58,0,1
20150130,580,22,0,0
20150131,46,0,0,0
20150201,30,0,0,0
20150202,248,24,0,0
20150203,122,30,0,0
20150204,243,62,0,0
20150205,226,130,0,1
20150206,141,40,0,0
20150207,5,0,0,0
20150208,22,0,0,0
20150209,498,40,0,2
20150210,336,40,0,0
20150211,256,76,0,0
20150212,72,162,1,2
20150213,90,54,0,7
20150214,28,0,0,0
20150215,7,0,0,0
20150216,203,60,0,14
20150217,63,44,2,8
20150218,9,0,0,0
20150219,11,0,0,0
20150220,5,0,0,0
20150221,10,0,0,0
20150222,16,0,0,0
20150223,195,42,0,2
20150224,138,76,1,4
20150225,168,84,1,5
20150226,137,166,1,16
20150227,100,78,8,18
20150228,25,0,0,0
20150301,8,0,0,0
20150302,109,60,0,26
20150303,300,90,2,14
20150304,264,48,0,22
20150305,88,106,0,65
20150306,304,34,7,22
20150307,21,0,0,0
20150308,103,0,0,0
20150309,178,26,2,28
20150310,3099,28,4,46
20150311,5089,36,1,74
20150312,12450,50,2,301
20150313,192,12,75,40
20150314,4,0,0,0
20150315,52,0,0,0
20150316,1066,10,10,56
20150317,1530,1,11,61
20150318,242,0,15,159
20150319,81,0,38,513
20150320,1484,0,444,84
20150321,10,0,0,0
20150322,11,0,0,0
20150323,215,0,19,72
20150324,581,1,36,10
20150325,909,0,51,9
20150326,7849,2,109,7
20150327,1789,4,844,11
20150328,369,0,0,0
20150329,154,0,0,1
20150330,1322,0,145,17
20150331,351,0,149,54
20150401,350,0,2,24
20150402,2145,0,0,29
20150403,4944,0,1,23
20150404,31,0,0,0
20150405,27,0,0,0
20150406,1209,0,1,14
20150407,2731,0,0,21
20150408,2974,0,0,21
20150409,2188,0,7,20
20150410,246,0,3,21
20150411,20,0,0,0
20150412,48,0,0,0
20150413,2510,0,0,14
20150414,406,0,0,11
20150415,247,0,0,2
20150416,543,0,2,0
20150417,612,0,0,2
20150418,471,0,0,0
20150419,453,0,0,0
20150420,1474,0,0,0
20150421,143,0,1,1
20150422,165,0,0,0
20150423,226,0,0,0
20150424,153,0,2,0
20150425,26,0,0,0
20150426,9,0,0,0
20150427,352,0,1,1
20150428,172,0,1,1
20150429,261,0,0,4
20150430,227,0,4,6
20150501,78,0,0,0
20150502,28,0,0,0
20150503,58,0,0,0
20150504,187,0,0,3
20150505,58,0,0,0
20150506,128,0,0,1
20150507,237,0,0,3
20150508,67,0,0,7
20150509,30,0,0,0
20150510,17,0,0,0
20150511,437,0,0,9
20150512,349,0,0,23
20150513,108,4,0,53
20150514,515,2,0,191
20150515,143,1,0,1260
20150516,18,0,0,0
20150517,2,0,0,0
20150518,258,0,0,2
20150519,232,0,0,1
20150520,165,0,0,3
20150521,188,2,0,4
20150522,108,0,0,2
20150523,11,0,0,0
20150524,7,0,0,0
20150525,21,0,0,0
20150526,2963,4,1,5
20150527,205,3,0,2
20150528,188,10,2,6
20150529,295,1,1,25
20150530,20,0,0,0
20150531,95,0,0,0
20150601,204,0,0,23
20150602,116,0,0,0
20150603,91,0,0,1
20150604,163,0,0,0
20150605,265,2,0,1
20150606,5,0,0,0
20150607,15,0,0,0
20150608,150,0,0,1
20150609,240,0,0,1
20150610,203,0,0,0
20150611,259,2,1,2
20150612,160,2,1,0
20150613,5,0,0,0
20150614,7,0,0,0
20150615,196,1,0,2
20150616,144,0,0,2
20150617,210,3,0,1
20150618,130,2,0,6
20150619,140,0,3,6
20150620,5,0,0,0
20150621,33,0,0,0
20150622,186,0,0,3
20150623,174,0,1,0
20150624,433,1,1,0
20150625,233,0,0,0
20150626,325,0,9,0
20150627,54,0,0,0
20150628,10,0,0,0
20150629,171,0,8,0
20150630,342,0,2,2
20150701,173,0,0,1
20150702,158,0,0,1
20150703,132,0,0,0
20150704,8,0,0,0
20150705,11,0,0,0
20150706,195,0,0,1
20150707,238,0,0,0
20150708,140,1,0,0
20150709,200,2,0,0
20150710,133,0,0,0
20150711,17,0,0,0
20150712,22,0,0,0
20150713,186,1,0,2
20150714,163,0,0,0
20150715,238,0,0,1
20150716,98,2,0,0
20150717,125,0,0,0
20150718,7,0,0,0
20150719,1,0,0,0
