daily,customer,dividend,shareholder_meeting,actual
1월1일,224,0,0,0
1월2일,1836,2,0,0
1월3일,2611,2,1,0
1월4일,1469,2,0,0
1월5일,1517,0,0,0
1월6일,2699,0,0,0
1월7일,2112,4,0,5
1월8일,1957,4,0,4
1월9일,1197,4,0,0
1월10일,959,2,0,1
1월11일,1532,2,0,1
1월12일,1405,0,0,2
1월13일,1612,1,0,3
1월14일,2710,0,0,1
1월15일,2271,8,0,4
1월16일,1491,2,1,5
1월17일,1387,2,0,3
1월18일,1001,12,0,4
1월19일,1595,10,0,3
1월20일,1731,22,1,1
1월21일,1429,24,0,0
1월22일,1648,58,0,5
1월23일,1607,58,0,0
1월24일,1267,70,0,0
1월25일,1284,138,0,3
1월26일,1094,102,1,4
1월27일,1370,42,0,1
1월28일,1851,128,1,2
1월29일,1827,190,0,4
1월30일,1689,168,0,2
1월31일,1427,202,1,5
2월1일,1528,184,1,0
2월2일,1953,146,0,1
2월3일,1549,198,0,0
2월4일,1522,286,0,1
2월5일,1622,298,1,4
2월6일,1187,240,1,1
2월7일,1826,312,0,1
2월8일,1117,346,0,1
2월9일,1512,290,0,7
2월10일,1591,210,0,4
2월11일,1949,394,1,3
2월12일,1907,542,1,12
2월13일,1777,392,0,27
2월14일,1979,300,0,115
2월15일,1493,174,0,35
2월16일,1361,184,0,20
2월17일,2227,160,4,14
2월18일,1970,94,0,12
2월19일,2201,170,2,12
2월20일,1319,243,0,30
2월21일,1617,258,0,9
2월22일,1828,310,0,19
2월23일,1823,336,3,27
2월24일,1883,375,3,29
2월25일,2115,439,3,25
2월26일,1789,583,9,42
2월27일,2339,493,11,49
2월28일,1325,490,27,69
2월29일,375,65,4,16
3월1일,423,0,0,0
3월2일,1718,320,2,93
3월3일,1918,328,6,103
3월4일,2544,216,10,75
3월5일,1816,366,0,137
3월6일,1730,312,9,129
3월7일,1454,318,2,176
3월8일,2234,262,10,232
3월9일,2157,238,18,321
3월10일,4852,158,37,371
3월11일,7176,126,56,257
3월12일,15567,220,16,579
3월13일,3284,120,128,402
3월14일,2038,80,29,545
3월15일,2610,44,115,835
3월16일,7977,26,152,1186
3월17일,4906,1,215,845
3월18일,2358,2,387,679
3월19일,2276,2,132,1408
3월20일,5798,4,694,749
3월21일,2930,11,158,707
3월22일,4519,4,510,536
3월23일,4078,4,769,265
3월24일,3210,1,1391,30
3월25일,2672,2,1213,38
3월26일,10008,2,680,49
3월27일,3743,13,2103,52
3월28일,1967,16,726,49
3월29일,1892,4,1041,63
3월30일,4141,4,1402,109
3월31일,2230,4,506,135
4월1일,2231,2,2,78
4월2일,3977,0,0,88
4월3일,7615,2,2,97
4월4일,2387,0,0,76
4월5일,2191,0,0,71
4월6일,3175,0,4,84
4월7일,4462,0,0,69
4월8일,4660,3,1,67
4월9일,3686,0,8,63
4월10일,1991,0,3,90
4월11일,1834,1,0,73
4월12일,2542,0,1,52
4월13일,3807,0,0,45
4월14일,1855,0,0,40
4월15일,1356,0,0,10
4월16일,2357,2,2,4
4월17일,3217,0,1,12
4월18일,3025,0,1,2
4월19일,5168,0,4,2
4월20일,3160,2,0,5
4월21일,2342,0,2,4
4월22일,2285,0,3,6
4월23일,2647,0,2,5
4월24일,1944,0,8,0
4월25일,1412,5,9,1
4월26일,1721,5,4,4
4월27일,2145,6,6,9
4월28일,1714,1,6,9
4월29일,1841,3,6,12
4월30일,1438,4,9,17
5월1일,219,0,0,0
5월2일,1642,0,0,7
5월3일,1628,2,0,7
5월4일,1850,0,0,11
5월5일,576,0,0,0
5월6일,1096,0,0,4
5월7일,1998,3,0,21
5월8일,3521,7,0,37
5월9일,999,1,1,33
5월10일,2024,3,0,75
5월11일,2291,5,0,165
5월12일,2165,8,0,365
5월13일,1780,21,0,562
5월14일,1781,7,1,882
5월15일,1322,12,0,7416
5월16일,1810,4,0,1128
