code,company,sector,summary
A000050,경방,내구소비재와의류,"면사, 생사, 화섬사, 기타 각종사의 제조 및 판매, 면직물, 견직물, 화섬직물,기타 각종 직물의 제조 및 판매, 사포가공업, 수출입업 등을 영위할 목적으로 1919년 10월 5일 설립되었음 영위하는 사업은 면사, 생사, 화섬사, 기타 각종 사의 제조 및 판매, 사포가공업, 부동산개발업, 부동산의 판매 및 임대업, 백화점업, 호텔업을 영위하고 있음 종속회사는 KYUNGBANG VIETNAM(100%) 과 JEDI(97.9%)가 있으며 면사를 포함한 각종 사의 제조 및 판매와 부동산개발업, 컨설팅 사업을 하고있음 주요 매출처는 LOCAL 및 내수기업인 (주)다솜물산, (주)루디아텍스타일, 주식회사 백윤통상이 있고 수출기업은 PT.WIN TEXTILE, PACIFIC SOURCING GROUP이 있음"
A000700,유수홀딩스,운송,"동사는 2014년 12월 31일을 기준으로 독점규제 및 공정거래에 관한 법률에 따라 요건 미충족으로 지주회사에서는 제외되나 자회사의 주식을 확보, 유지, 관리하는 지주회사로서의 실질적인 지위와 역할에는 변함이 없음 기업집단 유수에 속해 있으며 2018년 6월말 기준 연결회사는 국내 4개사, 해외 비상장 30여개사로 (주)싸이버로지텍(소프트웨어 개발 및 판매), (주)유수로지스틱스(화물운송 중개, 대리, 보관창고업) 등이 있음 동사의 자회사 (주)싸이버로지텍은 컨테이너 솔루션의 세계시장 점유율은 12%, 국내시장 점유율은 33%이며, 터미널 솔루션의 세계시장 점유율은 13%, 국내시장 점유율은 50%임 종합물류부문의 중점 추진 사업은 글로벌 네크워크를 기반으로 동남아시아 지역 패션잡화 제조사에 원부자재를 조달하는 물류서비스 모델의 확대, 온라인 유통시장을 대상으로 하는 종합SCM 사업 등임"
A003480,한진중공업홀딩스,유틸리티,"다른 회사의 주식을 소유함으로써 그 회사를 지배하는 것을 목적으로 하는 순수지주회사로서, 주 수입원은 자회사 등으로부터 받는 배당수익, 한진중공업브랜드의 권리를 소유하며 상표권사용수익, 임대수익 등이 있음 사업부문은 도시가스공급업(대륜E&S), 골프장사업(한일레저), 발전전기업(대륜발전, 별내에너지), 기내식서비스사업(HACOR) 등으로 구성됨 주요 자회사로는 자회사 장부가액의 합계의 100분의 75에 해당하는 자회사로 (주)한진중공업, (주)한일레저, (주)대륜E&S 등이 있음 동사의 종속회사인 (주)대륜E&S는 사업다각화 및 신사업 개발을 통한 신성장 동력 확보를 위해 공동주택 및 업무 상업시설에 전기와 열을 One Stop System 으로 공급하는 집단에너지 사업을 추진 중"
A000060,메리츠화재,보험,"1922년 국내 최초로 설립된 종합손해보험회사로, 메리츠금융그룹 기업집단에 속해있으며 손해보험업 및 이에 관련된 부대사업을 영위하고 있음 동사의 강점은 장기 보장성보험 중심의 매출 전략으로, 장기 보장성 신계약은 업계 최고수준의 장기상품 경쟁력을 바탕으로, 지속적으로 업계 상위 수준의 경쟁력을 유지 2017년 A.M.Best 11년 연속 A-(Excellent)등급을 획득하였으며, 투입한 자기자본이 얼마만큼의 이익을 냈는지를 나타내는 지표인 ROE의 경우 2017년 20.7%로 손해보험사 중 1위를 기록 걱정인형이라는 캐릭터를 활용하여 타사와 차별화된 브랜드 전략을 취하고 있으며, 언더라이팅 강화 및 효율적 사업비 절감 등 보험영업부문에서 지속적인 이익이 가능한 정책을 지속 수행하여 탄탄한 이익을 확보하고 있음"
A000120,CJ대한통운,운송,"1930년 11월 15일에 설립되었고, 사업부문은 CL사업부문, 택배사업부문, 글로벌사업부문으로 구성되어 있으며, 서울, 인천, 대전, 부산 등 전국에 지사(점)을 운영하고 있음 CL(Contract Logistics, 계약물류) 사업부문은 육상 및 해상 등 여러 분야에서 전국네트워크 구축을 통해 운송의 합리화 추진하여 고객의 요구에 부응하며 물류 품질의 질적 향상과 서비스 극대화에 노력 제 3자 물류 시장을 확대하기 위해 세제, 컨설팅 사업추진, 물류전문업체 경쟁력 향상, 전문 물류기업 이용 화주기업에 대한 세액공제 혜택 등을 통해 정부는 정책적으로 전문물류기업 활용을 장려하고 있는 추세 2017년 택배시장은 온라인 마켓 및 모바일쇼핑의 성장세로 전년대비 약 13% 성장한 23억 Box로 추정되며 앞으로도 꾸준한 성장이 예상됨"
A000100,유한양행,제약과생물공학,"1926년 설립되었으며 의약품, 화학약품, 공업약품, 수의약품, 생활용품 등의 제조 및 매매를 주 사업목적으로 하고 있음 약품사업부문의 주요 품목으로는 B형간염치료제 비리어드 외에도 트라젠타, 트윈스타, 아토르바, 프리베나, 종합비타민제 삐콤씨 액티브 등이 있음 생활건강사업부문의 주요 품목으로는 유한 락스와 칫솔, 치약, 살충제 해피홈, 표백제 유한젠 등이 있음. 해외사업부문은 유한화학에서 생산된 원료의약품을 국내외에 공급하고 있음 연구개발부문에서 제96기 반기에 매출액 대비 6.8%인 493억원을 연구개발비로 집중 투자하였으며, 현재 국내 192건, 해외 434건으로 총 626건에 달하는 특허를 보유 중에 있음"
A001530,DI동일,내구소비재와의류,"1955년 9월 1일에 섬유제품제조업을 주 영업목적으로 설립되고, 1964년 1월 한국거래소 유가증권시장에 상장하였으며, 연결대상 종속법인은 10개 회사임 면사, 혼방사, 가공사, 편물, 직물 등 섬유소재 제품 및 상품 판매, 패션 의류 및 액세서리 도,소매, e-커머스, 식약품용 알루미늄 연포장재 등 사업을 영위하고 있음 면방제품의 주원료인 원면은 전량 수입에 의존하고 있으며 일부 원료를 제외한 혼방용 화학섬유 원료, wool, 자수사와 재봉사의 원자재 등도 전량 수입에 의존하여 사용하고 있음 알루미늄 부문은 AL-STRIP은 국내에서 노벨리스코리아(주)와 조일알미늄(주)에서 매입하고 있으며 국내 독과점을 형성하고 있으나, 비교적 안정적인 가격으로 공급이 유지되고 있음"
A003490,대한항공,운송,"1962년 6월 설립, 1969년 3월 민영화되어 44개국 124개 도시(2018년 10월말 기준)에 여객 및 화물 노선을 개설하여 항공운송사업을 수행 중 사업부문은 항공운송사업(여객 사업, 화물 사업), 항공우주사업, 기타사업(기내식 등), 호텔사업으로 구성되어 있음. 동사의 국내 시장 점유율은 2018년 반기 기준 국제여객 20.7%, 국제화물 28.7%를 달성함 항공운송사업은 각 노선별 수요 변동 및 항공사 동향을 고려한 탄력적 공급 조정을 실시. 화물 사업은 우편물, 신선화물, 생동물, 의약품 등 고수익 품목의 영업을 확대하여 수익을 제고할 계획임 2017년 6월 23일 델타항공과의 태평양 노선 조인트벤처 협정을 체결하고 7월 국토교통부는 공정위와의 협의를 거쳐 2018년 3월 28일 부 당사와 델타항공 태평양 노선 조인트벤처 협력을 조건부 인가 조치"
A000950,전방,내구소비재와의류,"동사는 1953년 2월 23일에 면,모,화합섬 및 각종 섬유사, 포 제조 가공과 의류 제조판매 등을 주 영업목적으로 설립 동사는 현재 섬유제품제조, 중고자동차판매, 전자부품판매, 여행업 부문의 사업을 영위하고 있음 직물용 원사의 원활한 공급을 위해 영암공장으로 링방적 설비를 이설하여 데님용 원사를 공급하고, 평동·익산 공장의 최신 설비를 중심으로 고품질 면사를 생산하고 있음 직물부문은 특수사, 친환경 및 기능성 소재를 이용한 제품 개발과 다양한 아이템을 접목한 고부가가치 제품 개발에 집중하고, 범용 제품은 수익성 향상을 위하여 아웃 소싱으로 대체하여 생산"
A000070,삼양홀딩스,"식품,음료,담배","동사는 다른 회사의 주식을 소유함으로써 그 회사 지배를 목적으로 하는 지주사업과 투자 및 임대사업 등을 영위하는 사업지주회사로서, (주)삼양사, (주)삼양바이오팜을 포함하여 13개의 연결대상 종속회사를 보유하고 있음 연결대상 종속회사들이 영위하는 사업으로는 식품부문(삼양사, 진황도삼양사식품유한공사, 삼양에프앤비), 화학부문(삼양사, 삼양패키징), 의약부문(삼양바이오팜), 기타부문(삼양데이타시스템) 등이 있음 주요 종속회사인 삼양사의 사업은 크게 식품부문, 화학부문으로 나뉨. 식품부문의 주요 제품으로는 설탕, 밀가루 등이 있으며 화학부문의 주요 제품으로는 엔지니어링 플라스틱, PET병 용기 등이 있음 신규사업에 대해 고려 중이며 최우선적으로 국가 신성장동력 영역, 그 외 미래사업 후보들 중에서 구체적인 사업화 대상들을 신중히 검토 중임"
A000240,한국앤컴퍼니,자동차와부품,"지주회사 체제 전환을 위해 2012년 9월 1일 인적분할의 방식으로 투자부분을 담당하는 한국타이어월드와이드㈜와 기존의 타이어사업 등을 영위하는 한국타이어㈜로 분할 한국타이어 기업집단의 지주회사 전환으로 동사는 한국타이어㈜ 등을 자회사로 두게 되며, 사업부문은 ㈜아트라스비엑스의 축전지부문, 자회사의 경영자문 용역매출, 임대사업수익, 상표권사용수익, 지분법이익으로 구성됨 국내타이어 시장은 동사와 금호타이어 및 넥센타이어가 전체시장의 약 90% 이상 과점, 대단위 자본이 소요되는 장치산업으로 신규업체 진출이 어려운 편이며 R＆D 투자로 인한 신제품 개발 및 국내외 유통망 확보가 중요함 축전지 사업의 경우, 2018년 기준 동사를 포함한 4개의 업체가 시장점유율 90%이상을 차지하고 있는 과점체제를 구축하고 있으며, 수출의 경우 우수한 품질과 가격 경쟁력을 바탕으로 꾸준한 성장세를 보이고 있음"
A001440,대한전선,자본재,"동사는 1955년 대한전선 주식회사로 설립되었으며 2018년 2분기말 기준 대한전선 그룹에는 총 9개(대한전선 포함)의 계열회사가 있음 주요제품으로 전력 보급용 배선인 전력선, 통신선에 쓰이는 나선, 그 외에 무선통신망 구축에 사용되는 통신케이블 등이 있음 주요사업부문은 전선부문으로 장조장 알루미늄 평할시스케이블, 해저케이블 및 HVDC케이블 등 다양한 고객의 요구에 부응하고 있음 2016년 세계 HV/EHV케이블생산실적에서 2위(US$325M)를 달성하였으며 최근 싱가폴 SP Power Assets에 약 940억원 규모의 EHV 케이블 공급 턴키 프로젝트를 수주"
A001790,대한제당,"식품,음료,담배","동사는 1956년 7월 6일에 설립되어 설탕과 사료를 주 제품으로 제조, 판매하는 음식료품 제조업체임. 동사는 14개의 종속회사를 통해 금융업, 골프장업, 서비스업, 외식업 등을 영위하고 있음 사업부문은 제당식품, 사료, 금융, 골프장, 서비스, 외식업, 기타 등으로 구분되며 주요상표로는 푸드림, 무지개사료, 송추, 공주, 파파이스 등이 있음 제당사업 부문은 지난 60년간의 업력을 바탕으로 생산/연구개발/품질관리/판매/유통 전반에 걸친 노하우를 보유하고 있으며, 이를 통해 지속적인 신제품 개발 및 판매는 물론 기존 제품 군의 원가 절감을 추진 사료사업 부문은 축산 선진국인 네덜란드, 프랑스, 영국 등 유명 사료업체와 기술제휴를 통해 기술력을 향상시켰으며, 안전한 축산물 생산을 위한 기반으로써 농림축산식품부 HACCP 인증을 유지하고 있음"
A002420,세기상사,소매(유통),"1958년 설립되어 대한극장을 직영극장으로 경영하다가, 2000년 대한극장 건물을 철거하고 신축건물인 소극장이 집합된 멀티플렉스 영화관을 2001년부터 운영하고 있음 동사의 대한극장은 2001년 12월말에 신축 준공된 최신 복합극장으로, 11개관을 보유하고 있으며 최신형 영상시설과 음향시설로 영화를 고품질의 상태로 서비스하고 있음 동사 사업은 극장의 영화사업으로 주요 원재료는 영화 컨텐츠와 매점 원재료이며, 영화상영은 배급사로부터 안정적으로 조달하고 있음 상영기간 동안 판매된 상영수익의 일정 비율을 영화 종영 후 배급사에 후지급하는 방식을 사용하여 원가는 가격변동에 영향을 받지 않음"
A003030,세아제강지주,소재,"동사는 2018년 9월 인적분할을 실시한 분할존속 회사로서 분할대상부문을 제외한 투자사업부문을 영위하고 있음 동사는 순수지주회사로서 세아베스틸, 세아창원특수강 등 특수강 사업을 영위하는 계열사 등을 보유하고 있음 동사가 영위하는 투자사업부문은 전세계 사업장간의 유기적 시너지 창출을 유도하는 컨트롤 타워로서의 역할을 수행할 예정임 자회사 관리 및 신규사업투자 등에 집중하고 자회사 신규 투자 및 출자 보증 등의 면밀한 관리를 통한 사업지원 역할을 담당하고 있음"
A004250,NPC,내구소비재와의류,"동사와 연결회사는 금형부문을 포함한 플라스틱 사출 제조 및 판매가 대부분을 차지하는 지배적 단일사업을 영위하고 있음 주요사업부문은 컨테이너, 파렛트, 체어＆데스크, 환경제품, 시트류제품, 컨테이너 임대 등이 있음 R/T사업부는 전용컵을 삽입하면 컵의 하부로부터 맥주가 자동으로 채워지는 트렌디 제품인 Reverse tap을 개발중이며 IOT기술을 접목하여 소비자들에게 다양한 서비스를 제공하기 위해 연구를 진행하고 있음 2017년 운수물류 솔루션사업을 영위하는 엔피씨로지스㈜를 설립하였음"
A003300,한일홀딩스,자본재,"1961년 12월 설립된 동사는 2018년 7월 1일을 분할기일로 ""한일홀딩스주식회사""로 상호를 변경하고 투자사업부문인 한일홀딩스주식회사와 시멘트, 레미콘, 레미탈 사업부문인 한일시멘트주식회사로 인적분할 함 동사는 자회사 및 피투자회사 지분의 관리 및 투자를 목적으로 하는 사업부문 및 부동산임대사업부문을 영위하고 있으며 지주회사 전환을 준비 중 동사와 그 종속회사의 사업부문은 크게 시멘트 사업부문과 시멘트를 주원료로 2차제품을 생산하는 레미콘/레미탈 사업부문, 기타사업부문 등 4개 사업부문으로 구성됨 레미탈 부문은 인적분할 예정으로 중단영업으로 분류되었으며, 레미콘 사업은 현재 전국 19개(계열사 포함)의 레미콘 생산 공장을 운영 중에 있고 전국적으로 레미콘 적기 공급이 가능한 판매망을 구성하고 있음"
A000970,한국주철관,소재,"동사는 부산 신평공장에서 덕타일주철관 직관 및 이형 기타 볼트너트류 외 기타 기계주물품을 생산하고 있으며 포항공장에서 말뚝강관 및 수도용 도복장강관 등을 생산 구조관 전문생산업체인 진방스틸코리아(주)와 한국강재(주), 에이스스틸(주), 화장품의 제조 및 판매업을 영위하는 엔프라니(주)를 연결대상 종속회사로 보유하고 있음 동사와 종속회사가 영위하는 주철관 부문은 국내최초로 수도용 회주철관을 생산한 이후로 지속적인 기술개발을 통하여 기존 회주철관에 비해 인장강도 및 연성 등이 우수하여 내구성이 더욱 강화된 덕타일주철관을 생산하고 있음 화장품 제조 및 판매를 영위하는 엔프라니(주)는 2000년 전문점 프리미엄 브랜드 엔프라니를 출시하였고, 2010년 브랜드샵 홀리카홀리카를 오픈하였고, 2010년에 피부과학연구로 대통령표창을 수상"
